         198668384 function calls (193956861 primitive calls) in 279.605 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 14291906    9.434    0.000   12.589    0.000 reportviews.py:805(<genexpr>)
 13351704    1.588    0.000    1.588    0.000 {method 'items' of 'dict' objects}
 11086065    1.667    0.000    1.667    0.000 reportviews.py:790(<lambda>)
  9458706    1.481    0.000    1.514    0.000 {method 'get' of 'dict' objects}
  8688343    1.001    0.000    1.001    0.000 {built-in method builtins.id}
  6784409    1.430    0.000    1.430    0.000 coreviews.py:44(__init__)
  6764634    2.184    0.000    8.325    0.000 reportviews.py:802(<genexpr>)
  6584668    2.007    0.000    2.007    0.000 multigraph.py:776(get_edge_data)
5996338/5994938    1.199    0.000    1.377    0.000 {built-in method builtins.isinstance}
  5814417    1.614    0.000    1.614    0.000 {method 'update' of 'dict' objects}
  5582553    2.525    0.000    2.525    0.000 <string>:2(__init__)
  5382612   10.815    0.000   16.854    0.000 hash_weights.py:40(put)
  5161814    0.693    0.000    0.693    0.000 {method 'append' of 'list' objects}
4372442/754179    7.717    0.000   18.896    0.000 copy.py:132(deepcopy)
3584515/3583843    1.642    0.000    9.039    0.000 {built-in method builtins.hasattr}
  2900961    2.005    0.000   10.340    0.000 reportviews.py:804(__iter__)
  2896841    0.933    0.000    0.933    0.000 reportviews.py:778(<listcomp>)
  2896841    7.400    0.000    8.334    0.000 reportviews.py:778(<lambda>)
2521951/2517457    0.609    0.000    1.077    0.000 {built-in method builtins.getattr}
  2392377    0.586    0.000    0.586    0.000 {built-in method builtins.iter}
  2341295    0.651    0.000    0.651    0.000 graph.py:416(__contains__)
  2320856    0.329    0.000    0.329    0.000 copy.py:190(_deepcopy_atomic)
2270390/2261576    0.360    0.000    0.367    0.000 {built-in method builtins.len}
  2051326    1.698    0.000    2.204    0.000 copy.py:253(_keep_alive)
  2022965    7.118    0.000    7.652    0.000 multidigraph.py:329(succ)
  1974108    1.239    0.000    1.620    0.000 coreviews.py:101(__getitem__)
  1675800    0.121    0.000    0.121    0.000 {method 'clear' of 'dict' objects}
  1667981    1.376    0.000    9.702    0.000 reportviews.py:906(__init__)
  1667981    1.253    0.000   10.955    0.000 multidigraph.py:523(edges)
  1528122    0.261    0.000    0.261    0.000 {built-in method builtins.issubclass}
  1527061    4.001    0.000   13.908    0.000 reportviews.py:1109(__call__)
  1518939    8.003    0.000    9.908    0.000 reportviews.py:769(__init__)
  1514819    1.118    0.000    1.905    0.000 graph.py:1827(nbunch_iter)
1383813/1382069    1.479    0.000    9.808    0.000 {built-in method builtins.sum}
  1382022    1.968    0.000   14.026    0.000 reportviews.py:801(__len__)
  1309284    0.239    0.000    0.239    0.000 hash_weights.py:38(<lambda>)
  1218375    0.582    0.000    0.632    0.000 reportviews.py:1085(__iter__)
  1216176    0.812    0.000    2.597    0.000 graph.py:451(__getitem__)
  1216176    0.253    0.000    0.253    0.000 coreviews.py:53(__getitem__)
  1216176    0.647    0.000    0.850    0.000 coreviews.py:80(__getitem__)
  1216176    0.651    0.000    0.895    0.000 multidigraph.py:310(adj)
  1109045    1.439    0.000    1.439    0.000 {method '__deepcopy__' of 'numpy.generic' objects}
   833406    0.364    0.000    0.364    0.000 data_structures.py:377(__getitem__)
799996/799852    0.290    0.000    1.050    0.000 copy.py:274(<genexpr>)
   757932    0.323    0.000    0.493    0.000 coreviews.py:50(__iter__)
   591225    0.300    0.000    0.300    0.000 hash_weights.py:17(sort_buckets)
   518996    0.289    0.000    0.513    0.000 _collections_abc.py:879(__iter__)
   466570    0.339    0.000    0.339    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_OperationOpType}
   466570    0.186    0.000    0.525    0.000 ops.py:2376(type)
   455111    0.123    0.000    0.123    0.000 {built-in method __new__ of type object at 0x107b963a8}
   448362    0.131    0.000    0.162    0.000 {method 'add' of 'set' objects}
   413238    0.579    0.000    6.948    0.000 generic.py:178(shortest_path_length)
   413238    1.085    0.000    6.322    0.000 unweighted.py:189(bidirectional_shortest_path)
   413238    2.556    0.000    4.840    0.000 unweighted.py:245(_bidirectional_pred_succ)
411713/228337    0.261    0.000    2.616    0.000 {built-in method builtins.next}
401210/200159    1.142    0.000    8.867    0.000 copy.py:237(_deepcopy_dict)
   399978    0.336    0.000    0.336    0.000 {method '__reduce_ex__' of 'object' objects}
399978/199963    1.482    0.000   11.156    0.000 copy.py:269(_reconstruct)
   399886    0.234    0.000    0.327    0.000 copyreg.py:87(__newobj__)
   360750    0.046    0.000    0.046    0.000 {method 'popleft' of 'collections.deque' objects}
   354984    0.268    0.000    0.361    0.000 multidigraph.py:348(pred)
   354984    0.063    0.000    0.063    0.000 multidigraph.py:776(is_directed)
   354695    0.091    0.000    0.091    0.000 dxhash.py:15(get_weight)
   346961    0.077    0.000    0.077    0.000 context.py:1826(context_safe)
   343353    0.055    0.000    0.055    0.000 {method 'reverse' of 'list' objects}
   322322    0.178    0.000    0.332    0.000 _collections_abc.py:895(__reversed__)
   304880    0.042    0.000    0.042    0.000 reportviews.py:787(<lambda>)
   287551    4.715    0.000    4.715    0.000 {function Random.seed at 0x7fe78df19710}
   287551    0.869    0.000    6.260    0.000 random.py:97(seed)
   285064    0.117    0.000    0.179    0.000 layer_utils.py:37(is_layer)
   279870    0.163    0.000    0.376    0.000 layer_utils.py:43(has_weights)
   273646    0.332    0.000    0.437    0.000 graph.py:666(nodes)
   273646    0.105    0.000    0.105    0.000 reportviews.py:167(__init__)
