         434864648 function calls (411668625 primitive calls) in 430.676 seconds

   Ordered by: cumulative time
   List reduced from 3646 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001  432.080  432.080 /Users/daria/PycharmProjects/review7/dte_stand/dte_stand/algorithm/mate_run.py:12(step)
        1    0.000    0.000  431.528  431.528 /Users/daria/PycharmProjects/review7/dte_stand/dte_stand/algorithm/mate/lib/run_experiment.py:38(run_experiment)
        1    0.003    0.003  431.528  431.528 /Users/daria/PycharmProjects/review7/dte_stand/dte_stand/algorithm/mate/agents/ppo_agent.py:168(train_and_evaluate)
       40    0.136    0.003  310.316    7.758 /Users/daria/PycharmProjects/review7/dte_stand/dte_stand/algorithm/mate/agents/ppo_agent.py:123(run_episode)
     4000    0.160    0.000  290.102    0.073 /Users/daria/PycharmProjects/review7/dte_stand/dte_stand/algorithm/mate/environment/environment.py:270(step)
     4040    0.031    0.000  231.799    0.057 /Users/daria/PycharmProjects/review7/dte_stand/dte_stand/algorithm/mate/environment/environment.py:105(_calculate_current_bandwidth)
     4040    2.351    0.001  224.589    0.056 /Users/daria/PycharmProjects/review7/dte_stand/dte_stand/hash_function/base.py:83(run)
1022740/250480    6.941    0.000  218.038    0.001 /Users/daria/PycharmProjects/review7/dte_stand/dte_stand/hash_function/base.py:30(_flow_path)
   772260    7.739    0.000  131.737    0.000 /Users/daria/PycharmProjects/review7/dte_stand/dte_stand/hash_function/dxhash.py:18(_choose_nexthop)
8976/8846    0.161    0.000  120.704    0.014 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/eager/def_function.py:757(__call__)
8976/8846    0.099    0.000  120.271    0.014 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/eager/def_function.py:798(_call)
9055/8990    0.145    0.000  113.763    0.013 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/eager/function.py:1850(_call_flat)
     8976    0.062    0.000  111.951    0.012 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/eager/function.py:1827(_filtered_call)
       40    0.057    0.001  109.880    2.747 /Users/daria/PycharmProjects/review7/dte_stand/dte_stand/algorithm/mate/agents/ppo_agent.py:149(run_update)
8956/8851    0.048    0.000  102.969    0.012 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/eager/function.py:2825(__call__)
     9055    0.259    0.000  102.440    0.011 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/eager/function.py:509(call)
     8732    0.040    0.000   96.777    0.011 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/eager/execute.py:33(quick_execute)
     8732   96.729    0.011   96.729    0.011 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_Execute}
20355947/1310802   34.466    0.000   84.919    0.000 /Users/daria/.conda/envs/mate/lib/python3.7/copy.py:132(deepcopy)
   780576    1.785    0.000   79.235    0.000 /Users/daria/.conda/envs/mate/lib/python3.7/copy.py:211(_deepcopy_list)
   772260    3.069    0.000   71.825    0.000 /Users/daria/PycharmProjects/review7/dte_stand/dte_stand/paths/dag_calculator.py:169(calculate)
2467961/1233956    8.669    0.000   66.110    0.000 /Users/daria/.conda/envs/mate/lib/python3.7/copy.py:269(_reconstruct)
